,power_pta,power_pvs,power_to_bat,power_to_pta,bat_inyected_power
3757,9.993648126687885,24.298003101138793,14.304354974450908,9.993648126687885,0.0
3758,9.993648126687885,19.5852978205489,9.591649693861013,9.993648126687885,0.0
3759,9.993648126687885,10.322637747268011,0.32898962058012593,9.993648126687885,0.0
3760,9.993648126687885,4.414829321009554,0.0,4.414829321009554,5.578818805678331
3761,11.99237775202546,1.6103735675959368,0.0,1.6103735675959368,10.382004184429523
3762,9.993648126687885,2.560417159495761,0.0,2.560417159495761,7.433230967192124
3763,9.993648126687885,-0.119,0.0,0.0,10.112648126687885
3764,7.994918501350309,-0.119,0.0,0.0,8.113918501350309
3765,5.99618887601273,-0.119,0.0,0.0,6.11518887601273
3766,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3767,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3768,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3769,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3770,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3771,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3772,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3773,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3774,9.993648126687885,-0.119,0.0,0.0,10.112648126687885
3775,11.99237775202546,-0.119,0.0,0.0,12.11137775202546
3776,11.99237775202546,-0.119,0.0,0.0,12.11137775202546
3777,11.99237775202546,-0.119,0.0,0.0,12.11137775202546
3778,11.99237775202546,-0.119,0.0,0.0,12.11137775202546
3779,11.99237775202546,-0.119,0.0,0.0,12.11137775202546
3780,9.993648126687885,8.977794171870846,0.0,8.977794171870846,1.0158539548170396
3781,9.993648126687885,20.909462544258854,10.915814417570969,9.993648126687885,0.0
3782,9.993648126687885,29.738871225210396,19.74522309852251,9.993648126687885,0.0
3783,9.993648126687885,34.825278539025966,24.83163041233808,9.993648126687885,0.0
3784,9.993648126687885,35.92352242005657,25.929874293368684,9.993648126687885,0.0
3785,11.99237775202546,30.673846961805882,18.681469209780424,11.99237775202546,0.0
3786,9.993648126687885,2.5665422584658417,0.0,2.5665422584658417,7.427105868222044
3787,9.993648126687885,-0.119,0.0,0.0,10.112648126687885
3788,7.994918501350309,-0.119,0.0,0.0,8.113918501350309
3789,5.99618887601273,-0.119,0.0,0.0,6.11518887601273
3790,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3791,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3792,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3793,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3794,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3795,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3796,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3797,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3798,9.993648126687885,-0.119,0.0,0.0,10.112648126687885
3799,11.99237775202546,-0.119,0.0,0.0,12.11137775202546
3800,11.99237775202546,-0.119,0.0,0.0,12.11137775202546
3801,11.99237775202546,-0.119,0.0,0.0,12.11137775202546
3802,11.99237775202546,-0.119,0.0,0.0,12.11137775202546
3803,11.99237775202546,-0.119,0.0,0.0,12.11137775202546
3804,9.993648126687885,21.8700801422871,11.876432015599216,9.993648126687885,0.0
3805,9.993648126687885,21.158899606216128,11.165251479528242,9.993648126687885,0.0
3806,9.993648126687885,18.382903745165915,8.38925561847803,9.993648126687885,0.0
3807,9.993648126687885,13.533494867799496,3.53984674111161,9.993648126687885,0.0
3808,9.993648126687885,35.74874333764668,25.755095210958793,9.993648126687885,0.0
3809,11.99237775202546,30.547875260797724,18.555497508772262,11.99237775202546,0.0
3810,9.993648126687885,2.719005303902285,0.0,2.719005303902285,7.274642822785601
3811,9.993648126687885,-0.119,0.0,0.0,10.112648126687885
3812,7.994918501350309,-0.119,0.0,0.0,8.113918501350309
3813,5.99618887601273,-0.119,0.0,0.0,6.11518887601273
3814,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3815,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3816,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3817,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3818,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3819,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3820,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3821,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3822,9.993648126687885,-0.119,0.0,0.0,10.112648126687885
3823,11.99237775202546,-0.119,0.0,0.0,12.11137775202546
3824,11.99237775202546,-0.119,0.0,0.0,12.11137775202546
3825,11.99237775202546,-0.119,0.0,0.0,12.11137775202546
3826,11.99237775202546,-0.119,0.0,0.0,12.11137775202546
3827,11.99237775202546,-0.119,0.0,0.0,12.11137775202546
3828,9.993648126687885,8.855761758234472,0.0,8.855761758234472,1.1378863684534135
3829,9.993648126687885,19.806220185826362,9.812572059138477,9.993648126687885,0.0
3830,9.993648126687885,17.246945649397237,7.253297522709351,9.993648126687885,0.0
3831,9.993648126687885,34.56648600785902,24.572837881171132,9.993648126687885,0.0
3832,9.993648126687885,35.55108666173102,25.557438535043133,9.993648126687885,0.0
3833,11.99237775202546,30.31254027402265,18.32016252199719,11.99237775202546,0.0
3834,9.993648126687885,2.6691596881500264,0.0,2.6691596881500264,7.324488438537859
3835,9.993648126687885,-0.119,0.0,0.0,10.112648126687885
3836,7.994918501350309,-0.119,0.0,0.0,8.113918501350309
3837,5.99618887601273,-0.119,0.0,0.0,6.11518887601273
3838,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3839,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3840,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3841,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3842,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3843,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3844,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3845,3.9974592506751545,-0.119,0.0,0.0,4.116459250675154
3846,9.993648126687885,-0.119,0.0,0.0,10.112648126687885
3847,11.99237775202546,-0.119,0.0,0.0,12.11137775202546
